date,Price,Country,Price_7d,Price_14d,Price_21d,Price_28d,Price_7d_der,Price_14d_der,Price_21d_der,Price_28d_der,Month,Day,target
2017-12-27,0.0,Australia,0.0,6.649999999999999,6.649999999999999,19.25,0.0,0.0,-0.11904761904761904,-1.442857142857143,12,27,0.0
2017-12-28,0.0,Australia,0.0,6.649999999999999,6.649999999999999,19.25,0.0,0.0,0.0,0.0,12,28,0.0
2017-12-29,0.0,Australia,0.0,6.649999999999999,6.649999999999999,19.25,0.0,0.0,0.0,0.0,12,29,0.0
2017-12-30,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,19.25,0.0,-0.47500000000000003,0.0,0.0,12,30,0.0
2017-12-31,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,19.25,0.0,0.0,0.0,0.0,12,31,0.0
2018-01-01,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,19.25,0.0,0.0,0.0,0.0,1,1,0.0
2018-01-02,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,9.149999999999999,0.0,0.0,0.0,-0.36071428571428577,1,2,0.0
2018-01-03,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,6.649999999999999,0.0,0.0,0.0,-0.08928571428571429,1,3,0.0
2018-01-04,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,6.649999999999999,0.0,0.0,0.0,0.0,1,4,0.0
2018-01-05,0.0,Australia,0.0,-1.7763568394002505e-15,6.649999999999999,6.649999999999999,0.0,0.0,0.0,0.0,1,5,0.0
2018-01-06,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,-0.3166666666666667,0.0,1,6,0.0
2018-01-07,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,7,0.0
2018-01-08,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,8,0.0
2018-01-09,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,9,0.0
2018-01-10,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,10,0.0
2018-01-11,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,11,0.0
2018-01-12,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,6.649999999999999,0.0,0.0,0.0,0.0,1,12,27.75
2018-01-13,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,-0.23750000000000002,1,13,27.75
2018-01-14,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,1,14,27.75
2018-01-15,0.0,Australia,0.0,-1.7763568394002505e-15,-1.7763568394002505e-15,-1.7763568394002505e-15,0.0,0.0,0.0,0.0,1,15,27.75
